"election","election_date","locality","precinct","district","district_type","provisional_ballots","absentee_ballots","in_person_ballots","in_person_curbside_ballots","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","202 - SPOUT SPRING","00","Local","0","0","963","3","963","1687","25","1712"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","301 - US  460","00","Local","0","0","572","3","572","992","19","1011"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","302 - STONEWALL","00","Local","0","0","598","3","598","1251","34","1285"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","401 - COURTHOUSE","00","Local","0","0","955","5","955","1980","54","2034"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","501 - OAKVILLE","00","Local","0","0","728","2","728","1466","41","1507"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","502 - AGEE","00","Local","0","0","295","0","295","581","13","594"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","##Central Absentee","00","Local","0","0","0","0","0","0","0","0"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","001 - ARLINGTON","00","Local","0","0","850","0","850","2784","183","2967"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","002 - ASHTON HEIGHTS","00","Local","0","0","1130","2","1130","3227","245","3472"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","003 - AURORA HILLS","00","Local","0","0","793","1","793","1804","110","1914"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","004 - BALLSTON","00","Local","5","0","1017","0","1022","3170","268","3438"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","005 - BARCROFT","00","Local","2","0","1019","1","1021","2478","141","2619"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","006 - CRYSTAL CITY","00","Local","0","0","689","2","689","2391","541","2931"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","007 - CHERRYDALE","00","Local","3","0","1127","0","1130","2996","164","3160"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","008 - HUME","00","Local","1","0","1138","1","1139","3702","442","4144"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","009 - COLUMBIA","00","Local","1","0","1330","0","1331","3858","339","4197"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","010 - WILSON","00","Local","2","0","1148","3","1150","4264","643","4906"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","011 - EAST FALLS CHURCH","00","Local","0","0","876","2","876","2071","99","2170"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","012 - FAIRLINGTON","00","Local","3","0","1138","2","1141","2632","145","2777"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","013 - GLEN CARLYN","00","Local","3","0","736","3","739","2138","100","2238"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","014 - CLARENDON","00","Local","3","0","730","0","733","2416","230","2646"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","015 - LYON PARK","00","Local","0","0","592","0","592","1760","121","1881"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","016 - LYON VILLAGE","00","Local","1","0","1009","0","1010","3170","298","3468"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","017 - OVERLEE KNOLLS","00","Local","2","0","1355","1","1357","3200","178","3378"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","018 - PARK LANE","00","Local","5","0","1278","0","1283","5364","739","6103"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","019 - ROSSLYN","00","Local","3","0","934","0","937","3841","757","4598"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","020 - THRIFTON","00","Local","2","0","1126","3","1128","2864","107","2971"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","021 - VIRGINIA HIGHLANDS","00","Local","2","0","568","3","570","1711","135","1846"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","022 - ABINGDON","00","Local","6","0","1109","0","1115","2935","253","3188"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","023 - WESTOVER","00","Local","3","0","1212","7","1215","2814","116","2930"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","024 - WOODLAWN","00","Local","2","0","1403","2","1405","3923","245","4168"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","025 - ARLINGTON FOREST","00","Local","0","0","1016","2","1016","2718","224","2942"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","026 - FILLMORE","00","Local","0","0","1240","4","1240","3722","363","4085"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","027 - JEFFERSON","00","Local","5","0","0","0","5","2932","158","3090"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","028 - WAKEFIELD","00","Local","0","0","1184","8","1184","3686","350","4036"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","029 - DOMINION HILLS","00","Local","1","0","1300","0","1301","2763","81","2844"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","030 - GLEBE","00","Local","1","0","955","6","956","3095","282","3377"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","031 - LEXINGTON","00","Local","0","0","1251","3","1251","2882","108","2990"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","032 - OAKRIDGE","00","Local","0","0","415","0","415","1347","121","1468"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","033 - ROCK SPRING","00","Local","1","0","1310","4","1311","2931","99","3030"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","034 - YORKTOWN","00","Local","3","0","1056","1","1059","2609","66","2675"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","035 - MADISON","00","Local","1","0","1213","1","1214","3150","117","3267"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","036 - MARSHALL","00","Local","2","0","1194","3","1196","3270","188","3458"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","037 - NOTTINGHAM","00","Local","0","0","1103","2","1103","2570","85","2655"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","038 - ARLINGTON VIEW","00","Local","2","0","856","0","858","2920","333","3253"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","039 - ASHLAWN","00","Local","0","0","667","6","667","1665","63","1728"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","040 - VIRGINIA SQUARE","00","Local","2","0","1110","5","1112","3909","409","4318"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","041 - NAVY LEAGUE","00","Local","2","0","897","0","899","3232","503","3735"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","042 - SHIRLINGTON","00","Local","3","0","775","2","778","2538","272","2810"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","043 - CAMPBELL","00","Local","0","0","628","1","628","2585","170","2755"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","044 - DAWSON TERRACE","00","Local","1","0","714","0","715","2429","296","2725"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","045 - BUCKINGHAM","00","Local","1","0","727","10","728","2568","205","2773"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","046 - CENTRAL","00","Local","2","0","942","2","944","3701","449","4150"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","047 - FOUR MILE RUN","00","Local","0","0","763","3","763","2358","192","2549"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","048 - AUSA","00","Local","1","0","607","0","608","2513","398","2911"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","049 - MONROE","00","Local","2","0","596","0","598","2016","188","2204"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","050 - CRYSTAL PLAZA","00","Local","2","0","720","1","722","2939","375","3314"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","051 - TAYLOR","00","Local","0","0","327","0","327","792","58","850"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","052 - GUNSTON","00","Local","2","0","550","0","552","2396","323","2719"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","053 - MET PARK","00","Local","0","0","889","1","889","2877","678","3555"
"2019 November General","2019-11-05 00:00:00","ARLINGTON COUNTY","054 - GARFIELD PARK","00","Local","2","0","437","0","439","1472","395","1867"
"2019 November General","2019-11-05 00:00:00","AUGUSTA COUNTY","##Central Absentee","00","Local","0","163","0","0","163","0","0","0"
"2019 November General","2019-11-05 00:00:00","AUGUSTA COUNTY","##Central Absentee","00","Local","0","258","0","0","258","0","0","0"
"2019 November General","2019-11-05 00:00:00","AUGUSTA COUNTY","##Central Absentee","00","Local","0","400","0","0","400","0","0","0"
"2019 November General","2019-11-05 00:00:00","AUGUSTA COUNTY","##Central Absentee","00","Local","0","826","0","0","826","0","0","0"
"2019 November General","2019-11-05 00:00:00","AUGUSTA COUNTY","##Central Absentee","00","Local","0","835","0","1","835","0","0","0"
"2019 November General","2019-11-05 00:00:00","AUGUSTA COUNTY","101 - JOLIVUE","00","Local","0","0","687","2","687","1360","30","1390"
